,CLOUD_COVER,CLOUD_COVER_LAND,DATE_ACQUIRED,UTM_ZONE,WRS_PATH,WRS_ROW,Systemindex
0,1,1,1989-01-25,47,132,39,LT04_132039_19890125
1,7,7,1989-01-25,47,132,40,LT04_132040_19890125
2,52,52,1989-01-25,47,132,41,LT04_132041_19890125
3,0,0,1989-02-26,47,132,41,LT04_132041_19890226
4,38,38,1988-12-31,47,133,38,LT04_133038_19881231
5,10,10,1989-01-16,47,133,38,LT04_133038_19890116
6,22,22,1989-02-17,47,133,38,LT04_133038_19890217
7,12,12,1988-12-31,47,133,39,LT04_133039_19881231
8,2,2,1989-01-16,47,133,39,LT04_133039_19890116
9,16,16,1989-02-17,47,133,39,LT04_133039_19890217
10,3,3,1988-12-31,47,133,40,LT04_133040_19881231
11,3,3,1989-01-16,47,133,40,LT04_133040_19890116
12,38,38,1989-02-01,47,133,40,LT04_133040_19890201
13,35,35,1989-02-17,47,133,40,LT04_133040_19890217
14,6,6,1988-12-31,47,133,41,LT04_133041_19881231
15,12,12,1989-01-16,47,133,41,LT04_133041_19890116
16,68,68,1989-02-01,47,133,41,LT04_133041_19890201
17,86,86,1989-02-17,47,133,41,LT04_133041_19890217
18,2,2,1989-01-23,47,134,37,LT04_134037_19890123
19,3,3,1989-02-08,47,134,37,LT04_134037_19890208
20,1,1,1989-01-23,47,134,38,LT04_134038_19890123
21,1,1,1989-02-08,47,134,38,LT04_134038_19890208
22,2,2,1989-01-23,47,134,39,LT04_134039_19890123
23,16,16,1989-02-08,47,134,39,LT04_134039_19890208
24,30,30,1989-01-23,47,134,40,LT04_134040_19890123
25,80,80,1989-02-08,47,134,40,LT04_134040_19890208
26,49,49,1989-01-23,47,134,41,LT04_134041_19890123
27,58,58,1989-02-08,47,134,41,LT04_134041_19890208
28,5,5,1989-01-14,46,135,38,LT04_135038_19890114
29,18,18,1989-01-14,46,135,39,LT04_135039_19890114
30,8,8,1989-01-14,46,135,41,LT04_135041_19890114
31,3,3,1989-01-14,46,135,42,LT04_135042_19890114
32,16,16,1989-01-05,46,136,37,LT04_136037_19890105
33,7,7,1989-01-21,46,136,37,LT04_136037_19890121
34,2,2,1989-01-05,46,136,38,LT04_136038_19890105
35,5,5,1989-01-21,46,136,38,LT04_136038_19890121
36,21,21,1989-01-05,46,136,39,LT04_136039_19890105
37,2,2,1989-01-21,46,136,39,LT04_136039_19890121
38,87,87,1989-02-22,46,136,39,LT04_136039_19890222
39,30,30,1989-01-05,46,136,40,LT04_136040_19890105
40,4,4,1989-01-21,46,136,40,LT04_136040_19890121
41,71,71,1989-02-22,46,136,40,LT04_136040_19890222
42,40,40,1989-01-05,46,136,41,LT04_136041_19890105
43,26,26,1989-01-21,46,136,41,LT04_136041_19890121
44,77,77,1989-02-22,46,136,41,LT04_136041_19890222
45,36,36,1989-01-05,46,136,42,LT04_136042_19890105
46,30,30,1989-01-21,46,136,42,LT04_136042_19890121
47,63,63,1989-02-22,46,136,42,LT04_136042_19890222
48,88,88,1989-01-12,46,137,39,LT04_137039_19890112
49,1,1,1989-01-28,46,137,39,LT04_137039_19890128
50,12,12,1989-02-13,46,137,39,LT04_137039_19890213
51,9,9,1992-12-22,46,137,39,LT04_137039_19921222
52,1,1,1993-02-08,46,137,39,LT04_137039_19930208
53,14,14,1993-02-24,46,137,39,LT04_137039_19930224
54,29,29,1989-01-12,46,137,40,LT04_137040_19890112
55,3,3,1989-01-28,46,137,40,LT04_137040_19890128
56,9,9,1989-02-13,46,137,40,LT04_137040_19890213
57,68,68,1989-01-12,46,137,41,LT04_137041_19890112
58,61,61,1989-01-28,46,137,41,LT04_137041_19890128
59,11,11,1989-02-13,46,137,41,LT04_137041_19890213
60,4,4,1989-01-19,46,138,38,LT04_138038_19890119
61,6,6,1992-12-13,46,138,38,LT04_138038_19921213
62,3,3,1993-01-14,46,138,38,LT04_138038_19930114
63,63,63,1993-01-30,46,138,38,LT04_138038_19930130
64,2,2,1989-01-19,46,138,39,LT04_138039_19890119
65,3,3,1992-12-13,46,138,39,LT04_138039_19921213
66,4,4,1993-01-14,46,138,39,LT04_138039_19930114
67,1,1,1989-01-19,46,138,40,LT04_138040_19890119
68,15,15,1989-01-19,45,138,41,LT04_138041_19890119
69,3,3,1989-01-10,45,139,39,LT04_139039_19890110
70,32,32,1989-07-21,45,139,39,LT04_139039_19890721
71,31,31,1989-09-23,45,139,39,LT04_139039_19890923
72,3,3,1989-10-25,45,139,39,LT04_139039_19891025
73,0,0,1989-11-10,45,139,39,LT04_139039_19891110
74,29,29,1989-11-26,45,139,39,LT04_139039_19891126
75,2,2,1989-12-12,45,139,39,LT04_139039_19891212
76,3,3,1989-12-28,45,139,39,LT04_139039_19891228
77,0,0,1990-01-13,45,139,39,LT04_139039_19900113
78,3,3,1989-01-10,45,139,40,LT04_139040_19890110
79,76,76,1989-07-21,45,139,40,LT04_139040_19890721
80,1,1,1989-10-25,45,139,40,LT04_139040_19891025
81,0,0,1989-11-10,45,139,40,LT04_139040_19891110
82,4,4,1989-11-26,45,139,40,LT04_139040_19891126
83,0,0,1989-12-12,45,139,40,LT04_139040_19891212
84,2,2,1989-12-28,45,139,40,LT04_139040_19891228
85,0,0,1990-01-13,45,139,40,LT04_139040_19900113
